epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5881,1.74382,2.2957,1.211,0.55266,0.36614,0.38474,0.2111,1.61855,1.63792,1.1726,0.000665214,0.000665214,0.000665214
2,133.767,1.69752,2.07037,1.18976,0.54066,0.44671,0.44671,0.23007,1.6102,1.60955,1.16498,0.00130551,0.00130551,0.00130551
3,187.072,1.71295,1.84345,1.16933,0.55533,0.43983,0.45373,0.23271,1.64812,1.73651,1.17445,0.00191941,0.00191941,0.00191941
4,247.89,1.68937,1.82209,1.17157,0.62195,0.47022,0.50278,0.26219,1.61905,1.42506,1.16582,0.0018812,0.0018812,0.0018812
5,298.904,1.68403,1.75,1.18569,0.5836,0.47529,0.49801,0.27288,1.5372,1.48166,1.15651,0.0018416,0.0018416,0.0018416
6,380.396,1.65732,1.75913,1.17226,0.61575,0.46661,0.5129,0.26801,1.53276,1.35178,1.11938,0.001802,0.001802,0.001802
7,534.809,1.59495,1.67117,1.16092,0.6057,0.50682,0.52867,0.28725,1.50237,1.26365,1.12075,0.0017624,0.0017624,0.0017624
8,612.596,1.59367,1.66792,1.14348,0.62303,0.48164,0.51865,0.27214,1.49481,1.27608,1.12867,0.0017228,0.0017228,0.0017228
9,665.13,1.52913,1.55772,1.12431,0.636,0.50306,0.55226,0.30183,1.44582,1.27485,1.1141,0.0016832,0.0016832,0.0016832
10,825.647,1.47979,1.45109,1.10558,0.65195,0.52014,0.56479,0.31683,1.44779,1.18629,1.10795,0.0016436,0.0016436,0.0016436
11,985.727,1.49394,1.5606,1.11237,0.6507,0.50537,0.55172,0.29935,1.51002,1.24866,1.12593,0.001604,0.001604,0.001604
12,1103.94,1.55114,1.67875,1.109,0.63594,0.52244,0.55972,0.3158,1.41794,1.15164,1.08203,0.0015644,0.0015644,0.0015644
13,1153.39,1.49007,1.39201,1.0997,0.66594,0.53165,0.5731,0.31901,1.42917,1.19251,1.08598,0.0015248,0.0015248,0.0015248
14,1204.64,1.48741,1.45516,1.09769,0.67662,0.55377,0.60067,0.33794,1.40785,1.09372,1.08573,0.0014852,0.0014852,0.0014852
