epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5076,1.66419,2.1421,1.05225,0.04816,0.69215,0.34071,0.1812,1.53168,2.5083,1.03387,0.000655914,0.000655914,0.000655914
2,75.3218,1.59938,1.46332,1.01441,0.53935,0.43884,0.44141,0.23664,1.60102,1.37583,1.06468,0.00129639,0.00129639,0.00129639
3,113.081,1.63195,1.43184,1.03035,0.56311,0.42151,0.44504,0.24706,1.54612,1.42182,1.04269,0.00191047,0.00191047,0.00191047
4,150.959,1.59218,1.29992,1.01192,0.64573,0.53313,0.57534,0.31485,1.50897,1.20694,1.03309,0.0018812,0.0018812,0.0018812
5,189.382,1.53477,1.31609,1.0149,0.68543,0.4931,0.56586,0.32485,1.44938,1.20128,1.01468,0.0018416,0.0018416,0.0018416
6,227.343,1.53044,1.24078,0.99847,0.53979,0.47095,0.49344,0.23806,1.5459,1.37348,1.0362,0.001802,0.001802,0.001802
7,265.974,1.49938,1.19446,0.99048,0.66394,0.56473,0.61873,0.3477,1.40801,1.09365,1.01251,0.0017624,0.0017624,0.0017624
8,306.446,1.49962,1.17445,0.97862,0.69168,0.52369,0.59663,0.35496,1.38606,1.12038,0.99354,0.0017228,0.0017228,0.0017228
9,346.04,1.45746,1.15867,0.97747,0.69672,0.5265,0.60146,0.34378,1.41578,1.23227,1.00552,0.0016832,0.0016832,0.0016832
10,385.32,1.44942,1.10696,0.9634,0.69231,0.55199,0.62661,0.35445,1.38296,1.12598,0.98254,0.0016436,0.0016436,0.0016436
11,424.829,1.43403,1.15051,0.98069,0.67313,0.59174,0.63902,0.36246,1.37324,1.02614,0.97563,0.001604,0.001604,0.001604
12,464.801,1.4174,1.08078,0.98012,0.70483,0.54995,0.62938,0.369,1.35672,1.03092,0.98226,0.0015644,0.0015644,0.0015644
13,503.456,1.38549,1.07929,0.96479,0.73279,0.58257,0.66084,0.385,1.32383,0.99007,0.97009,0.0015248,0.0015248,0.0015248
14,542.634,1.36875,1.04098,0.95094,0.72603,0.60241,0.66789,0.39187,1.31142,0.93146,0.95641,0.0014852,0.0014852,0.0014852
15,581.397,1.38129,1.02499,0.94173,0.73424,0.59142,0.65824,0.38477,1.35209,0.97937,0.97739,0.0014456,0.0014456,0.0014456
