epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0623,1.68402,1.99552,1.07178,0.94824,0.12338,0.37416,0.19442,1.56502,2.62323,1.10662,0.000657534,0.000657534,0.000657534
2,89.1257,1.60298,1.42521,1.04207,0.65981,0.46855,0.51493,0.28171,1.55403,1.59294,1.12103,0.00129798,0.00129798,0.00129798
3,130.029,1.61228,1.34872,1.05227,0.5428,0.4167,0.42344,0.20555,1.62553,1.76879,1.08503,0.00191203,0.00191203,0.00191203
4,171.049,1.5532,1.29188,1.04564,0.63098,0.54288,0.56024,0.31994,1.46631,1.48703,1.05443,0.0018812,0.0018812,0.0018812
5,211.951,1.54421,1.27023,1.02608,0.65542,0.53211,0.5667,0.31651,1.47166,1.47932,1.06427,0.0018416,0.0018416,0.0018416
6,252.947,1.4915,1.18399,1.01695,0.72466,0.5595,0.63182,0.36177,1.43096,1.28555,1.02768,0.001802,0.001802,0.001802
7,294.638,1.48926,1.1737,1.01397,0.68292,0.53839,0.61585,0.3577,1.39618,1.28502,1.01268,0.0017624,0.0017624,0.0017624
8,337.106,1.48698,1.1459,0.99628,0.7039,0.57521,0.63134,0.35351,1.41819,1.321,1.02476,0.0017228,0.0017228,0.0017228
9,379.449,1.46193,1.11633,1.00699,0.71955,0.57489,0.64308,0.37267,1.37359,1.27735,1.02024,0.0016832,0.0016832,0.0016832
10,419.637,1.40228,1.07641,0.99135,0.71901,0.56354,0.63934,0.37837,1.37015,1.25664,1.02184,0.0016436,0.0016436,0.0016436
11,459.638,1.42281,1.10039,0.99635,0.70483,0.57117,0.63583,0.37925,1.34682,1.14998,0.9999,0.001604,0.001604,0.001604
12,499.491,1.40337,1.09346,0.98458,0.74944,0.58599,0.67702,0.39647,1.32027,1.12496,1.00005,0.0015644,0.0015644,0.0015644
13,539.77,1.42037,1.0508,0.97851,0.74755,0.5797,0.67097,0.39233,1.32089,1.28514,0.99796,0.0015248,0.0015248,0.0015248
14,579.275,1.34524,1.0084,0.97513,0.7393,0.59138,0.6709,0.39631,1.37041,1.20116,1.00408,0.0014852,0.0014852,0.0014852
15,620.277,1.35563,0.99222,0.96936,0.76403,0.60126,0.68996,0.42288,1.27531,1.10557,0.98995,0.0014456,0.0014456,0.0014456
16,660.575,1.36679,0.96973,0.96439,0.76626,0.61248,0.69981,0.42576,1.28792,1.10548,0.9869,0.001406,0.001406,0.001406
17,700.465,1.34465,0.96624,0.97561,0.78003,0.60171,0.69119,0.42378,1.26559,1.17523,0.99292,0.0013664,0.0013664,0.0013664
18,740.275,1.31704,0.93747,0.95697,0.76034,0.64032,0.71982,0.44022,1.2475,1.0346,0.97507,0.0013268,0.0013268,0.0013268
19,780.213,1.30793,0.92896,0.95985,0.73651,0.61652,0.69234,0.42356,1.25587,1.05645,0.98533,0.0012872,0.0012872,0.0012872
20,820.732,1.28725,0.91664,0.94808,0.76458,0.63584,0.72004,0.4332,1.27968,1.03613,0.9856,0.0012476,0.0012476,0.0012476
21,860.367,1.30258,0.92443,0.96333,0.72821,0.61832,0.68693,0.43033,1.25255,1.17781,0.97696,0.001208,0.001208,0.001208
22,900.781,1.29798,0.92425,0.9556,0.73169,0.63583,0.70495,0.42398,1.25879,1.24837,0.97832,0.0011684,0.0011684,0.0011684
23,940.04,1.27465,0.92144,0.94303,0.74815,0.61428,0.71169,0.44198,1.19349,1.07611,0.95623,0.0011288,0.0011288,0.0011288
24,982.661,1.273,0.90024,0.94415,0.7699,0.63103,0.71686,0.44571,1.22207,1.04794,0.96337,0.0010892,0.0010892,0.0010892
25,1023.43,1.22866,0.88121,0.95183,0.77918,0.6291,0.71478,0.44353,1.20425,1.11955,0.95683,0.0010496,0.0010496,0.0010496
26,1063.63,1.23836,0.89166,0.94568,0.77068,0.6493,0.72443,0.45215,1.20541,1.01057,0.9573,0.00101,0.00101,0.00101
27,1104.23,1.26618,0.86746,0.93338,0.79054,0.63044,0.72632,0.45863,1.15986,0.9611,0.94672,0.0009704,0.0009704,0.0009704
28,1145.04,1.24607,0.85831,0.9358,0.7832,0.60126,0.70291,0.44727,1.19313,1.20372,0.95519,0.0009308,0.0009308,0.0009308
29,1185.72,1.22697,0.85512,0.9329,0.78771,0.63538,0.72371,0.45532,1.157,1.02869,0.94463,0.0008912,0.0008912,0.0008912
30,1226.13,1.20634,0.85008,0.93575,0.79901,0.64616,0.74292,0.46348,1.16363,0.97717,0.94045,0.0008516,0.0008516,0.0008516
31,1267.91,1.24116,0.83813,0.92795,0.77538,0.67131,0.74167,0.46294,1.16861,0.97909,0.93992,0.000812,0.000812,0.000812
32,1307.91,1.18894,0.81685,0.92459,0.78479,0.65171,0.7399,0.46609,1.17156,0.95126,0.94875,0.0007724,0.0007724,0.0007724
33,1349.49,1.21442,0.82979,0.92371,0.79882,0.66502,0.74784,0.47534,1.14925,0.9062,0.94407,0.0007328,0.0007328,0.0007328
34,1389.55,1.16961,0.81807,0.93006,0.75504,0.66098,0.73355,0.46629,1.1454,1.08803,0.94132,0.0006932,0.0006932,0.0006932
35,1428.48,1.19933,0.80171,0.9276,0.81013,0.65333,0.74504,0.47596,1.14132,0.93681,0.93493,0.0006536,0.0006536,0.0006536
36,1468.44,1.20497,0.82618,0.92073,0.7795,0.66008,0.73917,0.47275,1.12151,0.99031,0.93041,0.000614,0.000614,0.000614
