epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9122,1.75377,1.92707,1.11658,0.59138,0.46969,0.50785,0.27287,1.56337,1.47787,1.06224,0.0006621,0.0006621,0.0006621
2,150.665,1.68869,1.40382,1.07246,0.68101,0.5339,0.57455,0.32912,1.45801,1.31407,1.03925,0.00130246,0.00130246,0.00130246
3,226.253,1.69005,1.37472,1.06863,0.67946,0.52043,0.58614,0.33165,1.48015,1.29563,1.03585,0.00191641,0.00191641,0.00191641
4,303.4,1.66554,1.33298,1.07051,0.69308,0.52178,0.59084,0.33194,1.45012,1.18828,1.02045,0.0018812,0.0018812,0.0018812
5,378.807,1.61764,1.28378,1.05119,0.67339,0.57252,0.62253,0.36732,1.35757,1.15152,1.00227,0.0018416,0.0018416,0.0018416
6,454.923,1.58188,1.21335,1.03528,0.69657,0.59093,0.65313,0.38182,1.35611,1.084,0.99813,0.001802,0.001802,0.001802
7,531.238,1.54372,1.19202,1.03073,0.75016,0.56893,0.65881,0.38865,1.32382,1.05712,0.98923,0.0017624,0.0017624,0.0017624
8,607.117,1.52466,1.16326,1.02281,0.75852,0.59317,0.66666,0.3942,1.35132,1.0015,0.99461,0.0017228,0.0017228,0.0017228
9,683.43,1.53955,1.16242,1.02859,0.74938,0.59856,0.67937,0.40681,1.28827,1.00627,0.98886,0.0016832,0.0016832,0.0016832
10,758.39,1.49169,1.09869,1.01319,0.71476,0.59811,0.67051,0.40344,1.32406,1.01879,1.00234,0.0016436,0.0016436,0.0016436
11,835.295,1.49607,1.09474,1.01584,0.73697,0.6044,0.67487,0.40079,1.3158,1.05772,0.99057,0.001604,0.001604,0.001604
12,910.206,1.47945,1.07602,1.00066,0.76577,0.6063,0.68164,0.41385,1.2553,1.06298,0.97064,0.0015644,0.0015644,0.0015644
13,985.418,1.46735,1.0529,1.00299,0.72606,0.59093,0.66717,0.39058,1.31647,1.00614,0.99543,0.0015248,0.0015248,0.0015248
14,1060.64,1.45698,1.06723,1.00411,0.73333,0.61922,0.69209,0.41261,1.2696,0.94966,0.96143,0.0014852,0.0014852,0.0014852
15,1136.65,1.43694,1.01922,0.992,0.76126,0.63583,0.71889,0.43145,1.25145,0.97782,0.96703,0.0014456,0.0014456,0.0014456
16,1212.91,1.42359,1.02551,0.99084,0.7478,0.63644,0.70374,0.42695,1.24272,0.9146,0.96828,0.001406,0.001406,0.001406
17,1287.91,1.39238,0.99819,0.98512,0.74335,0.61922,0.69294,0.42594,1.26004,0.92944,0.96773,0.0013664,0.0013664,0.0013664
18,1365.01,1.39193,1.00806,0.98241,0.75769,0.61428,0.70125,0.42624,1.24912,0.93683,0.96024,0.0013268,0.0013268,0.0013268
19,1440.8,1.42356,1.01651,0.98397,0.76449,0.65154,0.71915,0.4448,1.24285,0.88326,0.97158,0.0012872,0.0012872,0.0012872
20,1517.84,1.39718,0.98008,0.98299,0.75557,0.6607,0.728,0.45064,1.18879,0.90562,0.95081,0.0012476,0.0012476,0.0012476
21,1594.19,1.36005,0.96918,0.97054,0.78152,0.6493,0.7266,0.44886,1.20303,0.89194,0.94992,0.001208,0.001208,0.001208
22,1669.43,1.35841,0.94819,0.97057,0.77927,0.66008,0.73233,0.44888,1.21191,0.89508,0.95237,0.0011684,0.0011684,0.0011684
23,1746.07,1.36165,0.93808,0.96779,0.80298,0.64841,0.73273,0.45684,1.20512,0.87356,0.95802,0.0011288,0.0011288,0.0011288
24,1821.44,1.32735,0.91432,0.96371,0.77969,0.65631,0.73184,0.45762,1.19292,0.8441,0.94187,0.0010892,0.0010892,0.0010892
25,1896.96,1.31706,0.922,0.95856,0.77303,0.66861,0.7405,0.46265,1.18148,0.87466,0.94793,0.0010496,0.0010496,0.0010496
26,1973.9,1.34406,0.92141,0.96235,0.79664,0.64885,0.73234,0.46527,1.16636,0.83612,0.94328,0.00101,0.00101,0.00101
27,2049.88,1.34659,0.91102,0.96721,0.79195,0.67086,0.74851,0.47221,1.18342,0.83187,0.94785,0.0009704,0.0009704,0.0009704
28,2125.18,1.31578,0.90138,0.95878,0.78061,0.65379,0.73898,0.46799,1.15319,0.86474,0.93865,0.0009308,0.0009308,0.0009308
29,2200.92,1.3111,0.88953,0.95921,0.77789,0.67445,0.73985,0.47555,1.13745,0.82425,0.93151,0.0008912,0.0008912,0.0008912
30,2277.23,1.30549,0.88248,0.95731,0.802,0.67114,0.75247,0.48105,1.13058,0.81709,0.93076,0.0008516,0.0008516,0.0008516
31,2352.23,1.30876,0.87763,0.94303,0.7913,0.66571,0.75118,0.46529,1.16814,0.85799,0.93398,0.000812,0.000812,0.000812
32,2427.75,1.29384,0.87421,0.95,0.80426,0.66592,0.74942,0.47827,1.15696,0.82759,0.95027,0.0007724,0.0007724,0.0007724
33,2502.21,1.29518,0.85772,0.94257,0.79149,0.64429,0.7389,0.46521,1.16367,0.82004,0.94507,0.0007328,0.0007328,0.0007328
34,2576.46,1.28389,0.86733,0.94543,0.79441,0.66976,0.75725,0.47925,1.15804,0.81429,0.94145,0.0006932,0.0006932,0.0006932
35,2650.84,1.25542,0.84098,0.94102,0.81331,0.65245,0.75025,0.48077,1.1285,0.83,0.92858,0.0006536,0.0006536,0.0006536
36,2726.19,1.26452,0.84023,0.94454,0.8066,0.65873,0.74811,0.48151,1.12243,0.8121,0.93333,0.000614,0.000614,0.000614
37,2801.79,1.25353,0.82457,0.93197,0.80064,0.6749,0.75067,0.47482,1.13283,0.80199,0.93443,0.0005744,0.0005744,0.0005744
38,2876.13,1.24394,0.81669,0.93211,0.80143,0.66412,0.75651,0.48872,1.13055,0.76991,0.93396,0.0005348,0.0005348,0.0005348
39,2950.02,1.23289,0.81449,0.93395,0.80547,0.67625,0.76088,0.4912,1.10539,0.78024,0.92611,0.0004952,0.0004952,0.0004952
40,3023.37,1.2312,0.81631,0.9403,0.80332,0.67984,0.75838,0.4931,1.11448,0.78629,0.93706,0.0004556,0.0004556,0.0004556
41,3103.44,1.20116,0.80424,0.9391,0.79735,0.66255,0.74923,0.47626,1.13491,0.81109,0.92973,0.000416,0.000416,0.000416
42,3171.2,1.15632,0.77932,0.93152,0.81119,0.66942,0.75722,0.48626,1.11501,0.79229,0.92435,0.0003764,0.0003764,0.0003764
43,3240.65,1.13505,0.75746,0.92416,0.78872,0.68388,0.76002,0.49325,1.1042,0.78843,0.92354,0.0003368,0.0003368,0.0003368
44,3309.24,1.1373,0.74982,0.91808,0.79762,0.68137,0.7574,0.49215,1.13506,0.79422,0.94749,0.0002972,0.0002972,0.0002972
45,3378.1,1.14637,0.75486,0.92528,0.80715,0.67984,0.75705,0.49535,1.12566,0.77868,0.94118,0.0002576,0.0002576,0.0002576
46,3448.18,1.12829,0.74091,0.91919,0.81132,0.68298,0.75885,0.49662,1.11245,0.76854,0.93398,0.000218,0.000218,0.000218
47,3518.94,1.12209,0.73893,0.92177,0.80889,0.67663,0.76036,0.49816,1.09798,0.77288,0.92593,0.0001784,0.0001784,0.0001784
48,3588.49,1.09045,0.71608,0.91586,0.80586,0.68405,0.7612,0.49639,1.11873,0.76433,0.93944,0.0001388,0.0001388,0.0001388
49,3656.86,1.0985,0.72595,0.92297,0.81981,0.68848,0.76596,0.50209,1.1098,0.76894,0.93867,9.92e-05,9.92e-05,9.92e-05
50,3727.11,1.10542,0.71153,0.91042,0.81338,0.68302,0.76244,0.49879,1.11241,0.76962,0.94287,5.96e-05,5.96e-05,5.96e-05
